Year,Month,Beef,Chicken,Eggs,Milk,Gas
2011,Jan,2.533,1.241,1.806,3.301,3.139
2011,Feb,2.659,1.266,1.708,3.357,3.215
2011,Mar,2.715,1.269,1.732,3.503,3.594
2011,Apr,2.722,1.261,1.727,3.597,3.863
2011,May,2.694,1.302,1.692,3.653,3.982
2011,Jun,2.774,1.305,1.683,3.622,3.753
2011,Jul,2.818,1.306,1.647,3.654,3.703
2011,Aug,2.819,1.296,1.711,3.713,3.680
2011,Sep,2.868,1.294,1.947,3.715,3.664
2011,Oct,2.876,1.312,1.871,3.622,3.521
2011,Nov,2.899,1.304,1.836,3.557,3.475
2011,Dec,2.921,1.34,1.874,3.565,3.329
2012,Jan,3.005,1.334,1.939,3.583,3.447
2012,Feb,2.947,1.356,1.798,3.520,3.622
2012,Mar,3.016,1.372,1.774,3.499,3.918
2012,Apr,2.998,1.401,1.829,3.474,3.976
2012,May,2.995,1.347,1.691,3.427,3.839
2012,Jun,3.007,1.39,1.67,3.396,3.602
2012,Jul,3.085,1.454,1.648,3.428,3.502
2012,Aug,2.991,1.433,1.884,3.474,3.759
2012,Sep,3.024,1.455,1.889,3.469,3.908
2012,Oct,3.1,1.53,1.96,3.524,3.839
2012,Nov,3.175,1.512,1.963,3.536,3.542
2012,Dec,3.08,1.482,2.007,3.580,3.386
2013,Jan,3.407,1.497,1.933,3.526,3.407
2013,Feb,3.379,1.456,1.965,3.480,3.748
2013,Mar,3.332,1.471,1.925,3.431,3.792
2013,Apr,3.268,1.473,1.918,3.428,3.647
2013,May,3.311,1.466,1.87,3.441,3.682
2013,Jun,3.382,1.509,1.859,3.458,3.693
2013,Jul,3.459,1.484,1.833,3.449,3.687
2013,Aug,3.454,1.489,1.838,3.448,3.658
2013,Sep,3.502,1.528,1.897,3.428,3.616
2013,Oct,3.389,1.543,1.925,3.462,3.434
2013,Nov,3.477,1.518,1.925,3.491,3.310
2013,Dec,3.46,1.52,2.026,3.501,3.333
2014,Jan,3.467,1.529,2.008,3.552,3.378
2014,Feb,3.555,1.504,1.998,3.561,3.422
2014,Mar,3.698,1.544,2.061,3.669,3.590
2014,Apr,3.808,1.53,2.119,3.687,3.717
2014,May,3.856,1.556,1.996,3.735,3.745
2014,Jun,3.88,1.503,1.948,3.626,3.750
2014,Jul,3.884,1.495,1.95,3.645,3.690
2014,Aug,4.013,1.572,1.979,3.673,3.540
2014,Sep,4.096,1.543,1.97,3.732,3.463
2014,Oct,4.154,1.549,1.951,3.766,3.241
2014,Nov,4.201,1.533,2.032,3.858,2.945
2014,Dec,4.156,1.541,2.21,3.820,2.618
2015,Jan,4.235,1.546,2.113,3.758,2.170
2015,Feb,4.238,1.55,2.088,3.496,2.308
2015,Mar,4.2,1.545,2.133,3.463,2.544
2015,Apr,4.231,1.539,2.065,3.397,2.545
2015,May,4.136,1.483,1.962,3.387,2.832
2015,Jun,4.221,1.515,2.57,3.366,2.889
2015,Jul,4.2,1.487,2.57,3.430,2.893
2015,Aug,4.159,1.428,2.943,3.389,2.745
2015,Sep,4.126,1.415,2.966,3.392,2.463
2015,Oct,4.083,1.43,2.808,3.338,2.357
2015,Nov,4.113,1.484,2.664,3.299,2.249
2015,Dec,4.06,1.437,2.751,3.310,2.125
2016,Jan,3.978,1.429,2.328,3.313,2.034
2016,Feb,3.964,1.478,2.267,3.230,1.833
2016,Mar,3.955,1.463,2.081,3.187,2.021
2016,Apr,3.815,1.496,1.793,3.155,2.196
2016,May,3.717,1.489,1.684,3.157,2.324
2016,Jun,3.725,1.408,1.491,3.115,2.422
2016,Jul,3.69,1.445,1.546,3.062,2.287
2016,Aug,3.657,1.426,1.455,3.141,2.218
2016,Sep,3.665,1.487,1.471,3.229,2.269
2016,Oct,3.679,1.502,1.39,3.292,2.304
2016,Nov,3.597,1.478,1.321,3.280,2.246
2016,Dec,3.559,1.463,1.383,3.290,2.289
2017,Jan,3.553,1.418,1.599,3.318,2.409
2017,Feb,3.557,1.473,1.464,3.300,2.360
2017,Mar,3.594,1.462,1.404,3.315,2.386
2017,Apr,3.547,1.444,1.409,3.259,2.479
2017,May,3.559,1.499,1.414,3.242,2.448
2017,Jun,3.679,1.497,1.332,3.213,2.400
2017,Jul,3.754,1.496,1.333,3.219,2.344
2017,Aug,3.732,1.489,1.367,3.168,2.436
2017,Sep,3.707,1.48,1.422,3.209,2.688
2017,Oct,3.688,1.484,1.54,3.158,2.545
2017,Nov,3.638,1.451,1.506,3.150,2.608
2017,Dec,3.708,1.47,1.815,3.155,2.521
2018,Jan,3.641,1.509,1.769,2.961,2.596
2018,Feb,3.642,1.478,1.755,2.923,2.632
2018,Mar,3.657,1.502,1.831,2.903,2.631
2018,Apr,3.73,1.511,2.081,2.924,2.795
2018,May,3.685,1.523,1.987,2.919,2.963
2018,Jun,3.729,1.514,1.628,2.877,2.970
2018,Jul,3.745,1.519,1.725,2.839,2.930
2018,Aug,3.792,1.511,1.622,2.871,2.919
2018,Sep,3.743,1.487,1.651,2.890,2.930
2018,Oct,3.714,1.444,1.66,2.913,2.945
2018,Nov,3.781,1.501,1.596,2.877,2.733
2018,Dec,3.725,1.466,1.595,2.853,2.479
2019,Jan,3.801,1.473,1.554,2.913,2.352
2019,Feb,3.758,1.486,1.557,2.900,2.412
2019,Mar,3.725,1.468,1.544,2.944,2.620
2019,Apr,3.775,1.463,1.463,2.980,2.894
2019,May,3.822,1.479,1.362,2.963,2.963
2019,Jun,3.812,1.59,1.203,3.054,2.814
2019,Jul,3.8,1.562,1.243,3.031,2.836
2019,Aug,3.819,1.514,1.219,3.045,2.716
2019,Sep,3.851,1.487,1.383,3.102,2.694
2019,Oct,3.841,1.538,1.282,3.119,2.741
2019,Nov,3.812,1.43,1.405,3.189,2.687
2019,Dec,3.862,1.45,1.535,3.188,2.652
2020,Jan,3.886,1.409,1.461,3.253,2.631
2020,Feb,3.865,1.362,1.449,3.196,2.530
2020,Mar,3.881,1.4,1.525,3.248,2.334
2020,Apr,4.052,1.571,2.019,3.267,1.946
2020,May,4.461,1.304,1.64,3.210,1.946
2020,Jun,4.737,1.747,1.554,3.198,2.141
2020,Jul,4.264,1.712,1.401,3.255,2.243
2020,Aug,4.177,1.609,1.328,3.406,2.245
2020,Sep,4.076,1.542,1.353,3.448,2.260
2020,Oct,4.008,1.58,1.408,3.380,2.228
2020,Nov,4.027,1.639,1.45,3.425,2.159
2020,Dec,3.951,1.621,1.481,3.535,2.235
2021,Jan,3.965,1.595,1.466,3.468,2.391
2021,Feb,3.987,1.583,1.597,3.368,2.559
2021,Mar,4.042,1.543,1.625,3.348,2.856
2021,Apr,4.096,1.515,1.62,3.447,2.907
2021,May,4.101,1.486,1.625,3.497,3.041
2021,Jun,4.357,1.474,1.642,3.557,3.245
2021,Jul,4.388,1.435,1.642,3.627,3.326
2021,Aug,4.468,1.472,1.709,3.560,3.351
2021,Sep,4.504,1.504,1.835,3.585,3.361
2021,Oct,4.719,1.523,1.821,3.663,3.477
2021,Nov,4.716,1.583,1.718,3.671,3.576
2021,Dec,4.604,1.606,1.788,3.743,3.505
